"","Iteration","Seconds"
"279","Initial",2558
"280","Initial",2347
"281","Initial",2372
"282","Initial",2080
"283","Initial",2495
"284","Initial",2336
"285","Initial",2406
"286","Initial",2737
"287","Initial",2437
"288","Initial",2166
"289","Initial",2260
"290","Initial",2160
"291","Initial",2608
"292","Initial",2058
"293","Initial",2334
"294","Initial",2599
"295","Initial",2353
"296","Initial",2550
"297","Initial",2625
"298","Initial",2283
"299","Initial",2219
"300","Initial",2575
"301","Initial",2582
"302","Initial",2486
"303","Initial",2039
"304","Initial",2605
"305","Initial",2397
"306","Initial",2459
"307","Initial",2518
"308","Initial",2592
"309","Initial",2630
"310","Initial",2417
"311","Initial",2633
"312","Initial",2437
"313","Initial",2516
"314","Initial",2547
"315","Initial",2177
"316","Initial",2174
"317","Initial",2223
"318","Initial",1963
"319","Initial",2273
"320","Initial",2246
"321","Initial",2147
"322","Initial",2453
"323","Initial",2178
"324","Initial",2608
"325","Initial",2652
"326","Initial",2304
"327","Initial",2120
"328","Initial",2166
"329","Initial",2654
"330","Initial",2438
"331","Initial",2474
"332","Initial",2219
"333","Initial",2260
"334","Initial",2079
"335","Initial",2655
"336","Initial",2526
"337","Initial",2137
"338","Initial",1805
"339","Initial",1871
"340","Initial",2523
"341","Initial",2246
"342","Initial",2450
"343","Initial",2439
"344","Initial",1840
"345","Initial",2265
"346","Initial",2570
"347","Initial",2355
"348","Initial",2625
"349","Initial",2104
"350","Initial",2237
"351","Initial",2567
"352","Initial",2437
"353","Initial",1775
"354","Initial",2658
"355","Initial",2489
"356","Initial",2481
"357","Initial",2359
"358","Initial",2700
"359","Initial",2627
"360","Initial",2565
"361","Initial",2725
"362","Initial",2679
"363","Initial",2615
"364","Initial",2557
"365","Initial",2523
"366","Initial",2617
"367","Initial",2615
"368","Initial",2687
"369","Initial",2529
"370","Initial",2510
"371","Initial",2538
"372","Initial",2725
"373","Initial",2420
"374","Initial",2576
"375","Initial",2756
"376","Initial",2772
"377","Initial",2625
"378","Initial",2775
"379","Initial",2510
"380","Initial",2541
"381","Initial",2676
"382","Initial",2736
"383","Initial",2560
"384","Initial",2476
"385","Initial",2521
"386","Initial",2618
"387","Initial",2359
"388","Initial",2765
"389","Initial",2608
"390","Initial",2890
"391","Initial",2516
"392","Initial",2759
"393","Initial",2641
"394","Initial",2738
"395","Initial",2822
"396","Initial",2483
"397","Initial",2845
"398","Initial",2642
"399","Initial",2644
"400","Initial",2815
"401","Initial",2791
"402","Initial",2847
"403","Initial",2502
"404","Initial",2512
"405","Initial",2800
"406","Initial",2522
"407","Initial",2695
"408","Initial",2715
"409","Initial",2864
"410","Initial",2517
"411","Initial",2840
"412","Initial",2640
"413","Initial",2627
"414","Initial",2523
"415","Initial",2638
"416","Initial",2608
"417","Initial",2555
"418","Initial",2594
"419","Initial",2130
"420","Initial",2515
"421","Initial",1940
"422","Initial",2545
"423","Initial",2532
